id,time,entity_id,traj_id,coordinates,current_dis,speeds,holidays
23529,2013-10-09T08:45:00Z,254,1000,"[116.526031,39.899391]",0.0,22.395,0
23530,2013-10-09T08:45:35Z,254,1000,"[116.52668,39.895691]",0.415155339,29.5825,0
23531,2013-10-09T08:46:31Z,254,1000,"[116.526909,39.893215]",0.691183277,14.8525,0
23532,2013-10-09T08:48:19Z,254,1000,"[116.527405,39.886478]",1.4418601530000001,46.35,0
23533,2013-10-09T08:49:15Z,254,1000,"[116.527573,39.883274]",1.7984389459999999,13.35,0
23534,2013-10-09T08:50:10Z,254,1000,"[116.528755,39.879398]",2.241101544,34.375,0
23535,2013-10-09T08:50:30Z,254,1000,"[116.529564,39.876827]",2.5352187440000002,22.91,0
23536,2013-10-09T08:51:22Z,254,1000,"[116.530365,39.873734]",2.8858930210000002,20.7125,0
23537,2013-10-09T08:52:15Z,254,1000,"[116.530563,39.870045]",3.296464307,48.71,0
23538,2013-10-09T08:53:11Z,254,1000,"[116.521309,39.870262]",4.086636588999999,57.8625,0
23539,2013-10-09T08:53:40Z,254,1000,"[116.515869,39.870506]",4.551716401,60.7975,0
23540,2013-10-09T08:54:36Z,254,1000,"[116.511513,39.870663]",4.923896532,48.8125,0
23541,2013-10-09T08:55:29Z,254,1000,"[116.507797,39.870762]",5.241235458999999,46.5775,0
23542,2013-10-09T08:56:23Z,254,1000,"[116.500885,39.870987]",5.831680027000001,49.8,0
23543,2013-10-09T08:57:20Z,254,1000,"[116.478165,39.928528]",,44.2625,0
71210,2013-10-11T06:30:00Z,254,3004,"[116.306618,39.932228]",0.0,59.8125,0
71211,2013-10-11T06:30:54Z,254,3004,"[116.309433,39.932266]",0.240072173,50.11,0
71212,2013-10-11T06:31:47Z,254,3004,"[116.314194,39.932312]",0.646074503,44.5425,0
71213,2013-10-11T06:32:41Z,254,3004,"[116.324738,39.932308]",1.545160406,28.615,0
71214,2013-10-11T06:33:36Z,254,3004,"[116.332848,39.932411]",2.236793617,27.86,0
71215,2013-10-11T06:34:30Z,254,3004,"[116.342239,39.932423]",3.03756308,46.39,0
71216,2013-10-11T06:35:24Z,254,3004,"[116.348557,39.932358]",3.576346142,30.365,0
71217,2013-10-11T06:36:38Z,254,3004,"[116.352165,39.932343]",3.884016482,45.42,0
71218,2013-10-11T06:37:31Z,254,3004,"[116.354828,39.932274]",4.111219821000001,52.3475,0
71219,2013-10-11T06:39:19Z,254,3004,"[116.363235,39.932293]",4.82813677,36.6975,0
71220,2013-10-11T06:40:13Z,254,3004,"[116.365753,39.932285]",5.04284828,45.7925,0
71221,2013-10-11T06:42:01Z,254,3004,"[116.369957,39.932438]",5.40216159,19.55,0
71222,2013-10-11T06:42:55Z,254,3004,"[116.377678,39.93285]",6.0621194460000005,36.3475,0
71223,2013-10-11T06:43:49Z,254,3004,"[116.385597,39.933167]",6.738284376,28.155,0
71224,2013-10-11T06:44:43Z,254,3004,"[116.420868,39.969276]",,43.265,0
71299,2013-10-11T09:00:00Z,254,3009,"[116.322403,39.976105]",0.0,36.4075,0
71300,2013-10-11T09:01:36Z,254,3009,"[116.328712,39.976379]",0.538508758,39.9025,0
71301,2013-10-11T09:02:33Z,254,3009,"[116.332993,39.97649]",0.9035225159999999,13.7225,0
71302,2013-10-11T09:05:15Z,254,3009,"[116.333427,39.984177]",1.773767509,20.1375,0
71303,2013-10-11T09:06:08Z,254,3009,"[116.33683,39.985962]",2.125152126,39.1125,0
71304,2013-10-11T09:07:02Z,254,3009,"[116.344261,39.986401]",2.760172958,33.44,0
71305,2013-10-11T09:07:55Z,254,3009,"[116.353424,39.986767]",3.5419412880000003,25.275,0
71306,2013-10-11T09:08:50Z,254,3009,"[116.361771,39.987068]",4.253908193,36.0375,0
71307,2013-10-11T09:09:43Z,254,3009,"[116.371201,39.987358]",5.058004892,33.9125,0
71308,2013-10-11T09:10:36Z,254,3009,"[116.382454,39.987671]",6.017404269,39.8275,0
71309,2013-10-11T09:11:30Z,254,3009,"[116.387306,39.987839]",6.43122039,41.0075,0
71310,2013-10-11T09:12:23Z,254,3009,"[116.396896,39.988255]",7.249600914,34.3975,0
71311,2013-10-11T09:13:16Z,254,3009,"[116.40786,39.988605]",8.184543545,47.7175,0
71312,2013-10-11T09:14:14Z,254,3009,"[116.413322,39.988583]",8.649910944,40.99,0
71313,2013-10-11T09:14:36Z,254,3009,"[116.406174,39.933502]",,36.7125,0
238237,2013-10-19T22:15:00Z,254,10040,"[116.353691,39.987274]",0.0,37.6125,1
238238,2013-10-19T22:16:11Z,254,10040,"[116.353371,39.993156]",0.6546568420000001,20.8875,1
