traj_id,id,time,entity_id,coordinates,current_dis,speeds,holidays,coordinates_last,x_first,y_first,x_last,y_last
9,126,2013-10-08 22:30:00+00:00,254,"[116.490013,39.892902]",3.0790165998762267,37.2925,0,"[116.511292,39.904655]",116.490013,39.892902,116.511292,39.904655
11,147,2013-10-08 23:00:00+00:00,254,"[116.450546,39.943771]",12.543428249615287,36.0575,0,"[116.440742,40.018944]",116.450546,39.943771,116.440742,40.018944
13,171,2013-10-08 17:15:00+00:00,255,"[116.335503,39.763187]",1.500453396259508,26.625,0,"[116.34182,39.771339]",116.335503,39.763187,116.34182,39.771339
16,207,2013-10-08 19:00:00+00:00,255,"[116.479919,39.801834]",2.206868057855485,22.76,0,"[116.493935,39.789604]",116.479919,39.801834,116.493935,39.789604
24,337,2013-10-08 08:00:00+00:00,256,"[116.229218,39.900791]",7.685248857262442,26.285,0,"[116.314941,39.897045]",116.229218,39.900791,116.314941,39.897045
25,355,2013-10-08 08:30:00+00:00,256,"[116.324127,39.897049]",8.070722821020265,21.6075,0,"[116.410393,39.899246]",116.324127,39.897049,116.410393,39.899246
40,547,2013-10-08 08:30:00+00:00,257,"[116.408173,39.79324]",22.801703326688237,26.402500000000003,0,"[116.470497,39.911777]",116.408173,39.79324,116.470497,39.911777
53,1040,2013-10-08 18:30:00+00:00,257,"[116.360901,39.878113]",14.725642574985304,23.43,0,"[116.284477,39.957474]",116.360901,39.878113,116.284477,39.957474
55,1103,2013-10-08 19:45:00+00:00,257,"[116.268333,39.883675]",3.29256194502244,18.4225,0,"[116.266289,39.856838]",116.268333,39.883675,116.266289,39.856838
60,1191,2013-10-08 06:15:00+00:00,258,"[116.467606,39.876831]",8.904612875260787,26.6325,0,"[116.378616,39.859783]",116.467606,39.876831,116.378616,39.859783
67,1439,2013-10-08 06:00:00+00:00,4118,"[116.351501,39.939926]",23.607038870114952,45.81999999999999,0,"[116.541328,40.024174]",116.351501,39.939926,116.541328,40.024174
77,1656,2013-10-08 13:45:00+00:00,4118,"[116.369614,39.985012]",4.8697326450309495,27.590000000000003,0,"[116.332123,39.992634]",116.369614,39.985012,116.332123,39.992634
82,1707,2013-10-08 09:30:00+00:00,4120,"[116.437233,39.98579]",5.531600540800357,18.200000000000003,0,"[116.461655,39.950142]",116.437233,39.98579,116.461655,39.950142
86,1740,2013-10-08 18:30:00+00:00,4120,"[116.386902,39.854935]",3.6775854066850746,22.555,0,"[116.347527,39.850155]",116.386902,39.854935,116.347527,39.850155
89,1776,2013-10-08 08:30:00+00:00,4121,"[116.325829,39.897053]",4.792201530370765,21.6075,0,"[116.356834,39.916866]",116.325829,39.897053,116.356834,39.916866
97,1909,2013-10-08 12:00:00+00:00,4122,"[116.316399,39.978687]",5.890675838710133,37.6575,0,"[116.313873,40.024509]",116.316399,39.978687,116.313873,40.024509
105,2063,2013-10-08 00:00:00+00:00,4123,"[116.461601,39.940952]",13.294559380125229,50.3525,0,"[116.417839,40.024811]",116.461601,39.940952,116.417839,40.024811
112,2252,2013-10-08 12:45:00+00:00,4123,"[116.200317,39.944359]",2.0938696707891062,17.895,0,"[116.200386,39.927677]",116.200317,39.944359,116.200386,39.927677
117,2412,2013-10-08 16:00:00+00:00,4123,"[116.267342,39.850098]",8.566219134882624,29.735,0,"[116.319969,39.896984]",116.267342,39.850098,116.319969,39.896984
125,2619,2013-10-08 23:00:00+00:00,4123,"[116.416809,39.943233]",3.3664300358405628,21.5125,0,"[116.395378,39.955612]",116.416809,39.943233,116.395378,39.955612
126,2630,2013-10-08 23:00:00+00:00,4123,"[116.393478,39.949192]",16.383933018024006,55.9575,0,"[116.268219,39.90752]",116.393478,39.949192,116.268219,39.90752
136,2990,2013-10-08 16:15:00+00:00,4124,"[116.354355,39.937729]",4.780203101268119,32.045,0,"[116.346481,39.957378]",116.354355,39.937729,116.346481,39.957378
138,3024,2013-10-08 19:00:00+00:00,4124,"[116.438904,39.959709]",10.701278579377334,17.8475,0,"[116.387665,39.983196]",116.438904,39.959709,116.387665,39.983196
141,3127,2013-10-08 21:00:00+00:00,4124,"[116.472702,39.908451]",16.55731518839401,44.5775,0,"[116.370148,39.865528]",116.472702,39.908451,116.370148,39.865528
145,3244,2013-10-08 08:00:00+00:00,4125,"[116.425163,40.002159]",18.994737799482504,9.265,0,"[116.523468,40.01783]",116.425163,40.002159,116.523468,40.01783
148,3322,2013-10-08 10:00:00+00:00,4125,"[116.411774,39.933418]",21.47728337359879,32.69,0,"[116.373375,39.911861]",116.411774,39.933418,116.373375,39.911861
152,3460,2013-10-08 16:15:00+00:00,4125,"[116.42009,39.949429]",2.887952812585913,50.285,0,"[116.419937,39.959255]",116.42009,39.949429,116.419937,39.959255
153,3468,2013-10-08 16:30:00+00:00,4125,"[116.430466,39.924332]",8.778732376228282,23.82,0,"[116.459526,39.87125]",116.430466,39.924332,116.459526,39.87125
155,3512,2013-10-08 09:00:00+00:00,4126,"[116.464394,39.950233]",3.0053063745525903,19.26,0,"[116.478432,39.971203]",116.464394,39.950233,116.478432,39.971203
159,3584,2013-10-08 13:00:00+00:00,4126,"[116.386604,39.962914]",6.167426513853233,22.23,0,"[116.350639,39.944126]",116.386604,39.962914,116.350639,39.944126
161,3612,2013-10-08 13:45:00+00:00,4126,"[116.394028,39.945255]",6.082267920908043,32.375,0,"[116.459404,39.954185]",116.394028,39.945255,116.459404,39.954185
162,3622,2013-10-08 14:00:00+00:00,4126,"[116.462898,39.957199]",7.832775180303756,30.3125,0,"[116.378983,39.968269]",116.462898,39.957199,116.378983,39.968269
163,3634,2013-10-08 14:30:00+00:00,4126,"[116.370537,39.96191]",2.3153321004805347,46.4075,0,"[116.355591,39.952381]",116.370537,39.96191,116.355591,39.952381
165,3656,2013-10-08 16:00:00+00:00,4126,"[116.401199,39.968513]",4.425766929707833,49.51,0,"[116.450661,39.963341]",116.401199,39.968513,116.450661,39.963341
166,3663,2013-10-08 06:30:00+00:00,4127,"[116.19899,39.947796]",26.17265704138037,22.86,0,"[116.379066,39.866085]",116.19899,39.947796,116.379066,39.866085
174,3897,2013-10-08 11:15:00+00:00,4127,"[116.352585,39.909069]",10.44067703912649,31.8275,0,"[116.357002,39.974949]",116.352585,39.909069,116.357002,39.974949
186,4103,2013-10-08 14:45:00+00:00,4129,"[116.286186,39.828526]",14.224094078712625,18.645,0,"[116.428528,39.848289]",116.286186,39.828526,116.428528,39.848289
187,4126,2013-10-08 15:15:00+00:00,4129,"[116.428612,39.854511]",3.744128139248713,17.4,0,"[116.420914,39.882622]",116.428612,39.854511,116.420914,39.882622
189,4141,2013-10-08 17:00:00+00:00,4129,"[116.418274,39.897247]",5.2087788388994,22.615,0,"[116.401794,39.865501]",116.418274,39.897247,116.401794,39.865501
190,4154,2013-10-08 17:30:00+00:00,4129,"[116.399193,39.881485]",3.037525023140746,19.2125,0,"[116.399559,39.891693]",116.399193,39.881485,116.399559,39.891693
191,4162,2013-10-08 17:45:00+00:00,4129,"[116.374535,39.893444]",3.781759796795389,34.485,0,"[116.411476,39.900959]",116.374535,39.893444,116.411476,39.900959
192,4174,2013-10-08 18:15:00+00:00,4129,"[116.420616,39.884583]",20.456018503005453,24.015,0,"[116.310402,39.931355]",116.420616,39.884583,116.310402,39.931355
193,4197,2013-10-08 19:00:00+00:00,4129,"[116.350319,39.928406]",2.0432544784630364,18.1475,0,"[116.326385,39.927998]",116.350319,39.928406,116.326385,39.927998
195,4209,2013-10-08 19:45:00+00:00,4129,"[116.358215,39.952072]",7.421389984097536,16.107499999999998,0,"[116.371826,39.999496]",116.358215,39.952072,116.371826,39.999496
197,4234,2013-10-08 20:30:00+00:00,4129,"[116.417244,39.929962]",3.0552020840905554,28.41,0,"[116.418327,39.902512]",116.417244,39.929962,116.418327,39.902512
201,4263,2013-10-08 21:45:00+00:00,4129,"[116.481697,39.908001]",2.0556122010219893,53.8275,0,"[116.497803,39.911091]",116.481697,39.908001,116.497803,39.911091
202,4268,2013-10-08 22:45:00+00:00,4129,"[116.421715,39.86385]",3.893760674765061,36.32,0,"[116.400566,39.842472]",116.421715,39.86385,116.400566,39.842472
203,4275,2013-10-08 23:15:00+00:00,4129,"[116.370667,39.835686]",11.952300505787948,18.155,0,"[116.286774,39.792866]",116.370667,39.835686,116.286774,39.792866
204,4293,2013-10-08 08:15:00+00:00,4130,"[116.327332,40.021809]",11.195523221700958,60.89,0,"[116.45739,40.017647]",116.327332,40.021809,116.45739,40.017647
206,4321,2013-10-08 10:00:00+00:00,4131,"[116.25444,39.889576]",5.3539406187851775,18.3075,0,"[116.306351,39.896976]",116.25444,39.889576,116.306351,39.896976
207,4334,2013-10-08 10:00:00+00:00,4131,"[116.372719,39.899635]",2.735873284100539,24.1925,0,"[116.39431,39.900311]",116.372719,39.899635,116.39431,39.900311
213,4425,2013-10-08 12:30:00+00:00,4131,"[116.309914,39.910034]",2.845787720600001,25.68,0,"[116.325432,39.899563]",116.309914,39.910034,116.325432,39.899563
215,4474,2013-10-08 13:45:00+00:00,4131,"[116.279526,39.961441]",21.44087877616279,32.129999999999995,0,"[116.419144,39.897251]",116.279526,39.961441,116.419144,39.897251
226,4745,2013-10-08 19:45:00+00:00,4131,"[116.404602,39.862144]",2.8918721562114453,18.055,0,"[116.420036,39.84597]",116.404602,39.862144,116.420036,39.84597
234,5078,2013-10-08 05:30:00+00:00,4132,"[116.33535,39.955009]",13.220497297823671,46.205,0,"[116.440254,39.924191]",116.33535,39.955009,116.440254,39.924191
235,5125,2013-10-08 06:15:00+00:00,4132,"[116.469589,39.921463]",12.199884684430092,37.72,0,"[116.511292,40.009129]",116.469589,39.921463,116.511292,40.009129
236,5157,2013-10-08 06:30:00+00:00,4132,"[116.513145,40.010815]",3.1141978481539487,74.9125,0,"[116.543999,40.025146]",116.513145,40.010815,116.543999,40.025146
238,5170,2013-10-08 10:45:00+00:00,4132,"[116.461494,39.942272]",4.931100038441733,39.78,0,"[116.460556,39.908199]",116.461494,39.942272,116.460556,39.908199
258,5625,2013-10-08 07:30:00+00:00,4134,"[116.387962,39.876194]",45.41499948523701,20.26,0,"[116.543175,40.024788]",116.387962,39.876194,116.543175,40.024788
269,5936,2013-10-08 15:00:00+00:00,4134,"[116.472534,39.904903]",3.033913679424399,61.4625,0,"[116.496582,39.900829]",116.472534,39.904903,116.496582,39.900829
271,5982,2013-10-08 16:15:00+00:00,4134,"[116.462334,39.905334]",13.489993393081065,31.9575,0,"[116.382599,39.865234]",116.462334,39.905334,116.382599,39.865234
276,6129,2013-10-08 00:30:00+00:00,4135,"[116.414246,39.949295]",3.832853631976143,51.9125,0,"[116.369408,39.948097]",116.414246,39.949295,116.369408,39.948097
281,6384,2013-10-08 09:15:00+00:00,4135,"[116.372955,39.933949]",1.49528741764835,26.3975,0,"[116.373543,39.920513]",116.372955,39.933949,116.373543,39.920513
282,6390,2013-10-08 09:30:00+00:00,4135,"[116.373581,39.919304]",3.2352676880294,21.4475,0,"[116.379166,39.898388]",116.373581,39.919304,116.379166,39.898388
294,6729,2013-10-08 20:15:00+00:00,4135,"[116.53318,40.021351]",14.412807413972786,67.28,0,"[116.413567,39.993248]",116.53318,40.021351,116.413567,39.993248
301,6963,2013-10-08 07:30:00+00:00,4137,"[116.413658,39.995174]",2.1353202435004035,26.77,0,"[116.437263,39.992725]",116.413658,39.995174,116.437263,39.992725
302,6971,2013-10-08 07:45:00+00:00,4137,"[116.421051,39.993938]",3.0692902954601,22.4375,0,"[116.40686,39.995018]",116.421051,39.993938,116.40686,39.995018
314,7290,2013-10-08 12:30:00+00:00,4170,"[116.36982,39.976223]",2.504351942270751,17.58,0,"[116.371284,39.953735]",116.36982,39.976223,116.371284,39.953735
336,7684,2013-10-08 19:15:00+00:00,4270,"[116.351448,40.024452]",1.8576542738024548,36.712500000000006,0,"[116.352158,40.007809]",116.351448,40.024452,116.352158,40.007809
338,7699,2013-10-08 20:45:00+00:00,4270,"[116.328255,40.021458]",10.23398616561822,54.41,0,"[116.356277,40.023964]",116.328255,40.021458,116.356277,40.023964
340,7753,2013-10-08 13:15:00+00:00,4271,"[116.542542,40.024624]",17.68474821477437,78.0375,0,"[116.395493,39.963379]",116.542542,40.024624,116.395493,39.963379
342,7803,2013-10-08 14:15:00+00:00,4271,"[116.446434,39.962479]",11.20185691185152,35.7075,0,"[116.349579,39.936935]",116.446434,39.962479,116.349579,39.936935
352,8039,2013-10-08 20:45:00+00:00,4271,"[116.417946,39.916866]",2.6787616172733,17.9175,0,"[116.417076,39.940849]",116.417946,39.916866,116.417076,39.940849
358,8152,2013-10-08 09:00:00+00:00,4272,"[116.295387,39.941509]",14.481330878936609,55.9725,0,"[116.416641,39.9021]",116.295387,39.941509,116.416641,39.9021
362,8199,2013-10-08 15:00:00+00:00,4272,"[116.295975,39.947422]",6.101370415037682,47.71,0,"[116.330841,39.923115]",116.295975,39.947422,116.330841,39.923115
364,8221,2013-10-08 07:00:00+00:00,4273,"[116.374329,40.021408]",5.210026592471459,60.89500000000001,0,"[116.380409,39.980034]",116.374329,40.021408,116.380409,39.980034
365,8239,2013-10-08 07:15:00+00:00,4273,"[116.380882,39.974133]",5.066173965253119,44.0475,0,"[116.355278,39.941463]",116.380882,39.974133,116.355278,39.941463
374,8417,2013-10-08 02:00:00+00:00,4276,"[116.352654,39.902878]",2.2787697689459896,32.6075,0,"[116.36348,39.89056]",116.352654,39.902878,116.36348,39.89056
384,8749,2013-10-08 10:30:00+00:00,4276,"[116.198105,39.910793]",15.051840486013033,11.75,0,"[116.341682,39.923084]",116.198105,39.910793,116.341682,39.923084
386,8809,2013-10-08 12:00:00+00:00,4276,"[116.349472,39.930275]",12.328835761125722,33.625,0,"[116.286278,40.009693]",116.349472,39.930275,116.286278,40.009693
389,8882,2013-10-08 19:30:00+00:00,4276,"[116.422279,39.857273]",2.61931070493006,40.8075,0,"[116.448692,39.853928]",116.422279,39.857273,116.448692,39.853928
391,8939,2013-10-08 23:00:00+00:00,4276,"[116.359818,39.912975]",8.327740590153375,21.355,0,"[116.416794,39.910542]",116.359818,39.912975,116.416794,39.910542
392,8966,2013-10-08 23:30:00+00:00,4276,"[116.414482,39.910675]",14.504995075503452,21.55,0,"[116.326668,39.844288]",116.414482,39.910675,116.326668,39.844288
404,9232,2013-10-08 06:45:00+00:00,4278,"[116.503311,39.97773]",12.853904763943794,30.9875,0,"[116.445328,39.949974]",116.503311,39.97773,116.445328,39.949974
406,9274,2013-10-08 07:30:00+00:00,4278,"[116.42511,39.960514]",18.65354741389334,18.395,0,"[116.407471,39.994011]",116.42511,39.960514,116.407471,39.994011
412,9449,2013-10-08 19:15:00+00:00,4278,"[116.472717,39.948925]",12.236019370139712,16.442500000000003,0,"[116.407135,40.002712]",116.472717,39.948925,116.407135,40.002712
417,9624,2013-10-08 23:45:00+00:00,4278,"[116.443817,39.920654]",1.7567098989554677,23.5175,0,"[116.461136,39.919277]",116.443817,39.920654,116.461136,39.919277
419,9701,2013-10-08 08:30:00+00:00,4279,"[116.361237,39.962444]",5.1674065985018345,15.3725,0,"[116.416397,39.969082]",116.361237,39.962444,116.416397,39.969082
436,9936,2013-10-08 07:00:00+00:00,4280,"[116.547768,39.965778]",7.759977425335522,15.9775,0,"[116.530746,39.91703]",116.547768,39.965778,116.530746,39.91703
441,10027,2013-10-08 09:45:00+00:00,4280,"[116.305901,39.980801]",5.275240318024314,22.0075,0,"[116.314201,40.020992]",116.305901,39.980801,116.314201,40.020992
442,10037,2013-10-08 10:45:00+00:00,4280,"[116.366783,40.005482]",1.9895973438781789,49.67,0,"[116.355293,40.008064]",116.366783,40.005482,116.355293,40.008064
446,10081,2013-10-08 13:30:00+00:00,4280,"[116.507057,39.796577]",2.4178769817376846,30.83,0,"[116.492165,39.815067]",116.507057,39.796577,116.492165,39.815067
