traj_id,id,time,entity_id,coordinates,current_dis,speeds,holidays,duration_minutes,coordinates_last,x_first,y_first,x_last,y_last
0,0,2013-10-08 17:45:00+00:00,254,"[116.318726,40.009014]",0.0,36.69,0,29.183333333333334,"[116.318726,40.009014]",116.318726,40.009014,116.318726,40.009014
1,21,2013-10-08 18:45:00+00:00,254,"[116.356354,39.948452]",0.0,37.057500000000005,0,5.333333333333333,"[116.356354,39.948452]",116.356354,39.948452,116.356354,39.948452
2,26,2013-10-08 19:15:00+00:00,254,"[116.334274,39.969093]",0.0,33.5825,0,26.083333333333332,"[116.334274,39.969093]",116.334274,39.969093,116.334274,39.969093
3,50,2013-10-08 20:00:00+00:00,254,"[116.343887,39.929737]",0.0,19.47,0,18.283333333333335,"[116.343887,39.929737]",116.343887,39.929737,116.343887,39.929737
4,66,2013-10-08 20:30:00+00:00,254,"[116.321037,39.905369]",0.0,42.2925,0,15.333333333333334,"[116.321037,39.905369]",116.321037,39.905369,116.321037,39.905369
5,79,2013-10-08 20:45:00+00:00,254,"[116.350914,39.871239]",0.0,53.2975,0,16.3,"[116.350914,39.871239]",116.350914,39.871239,116.350914,39.871239
6,93,2013-10-08 21:00:00+00:00,254,"[116.415154,39.856808]",0.0,50.3125,0,18.35,"[116.415154,39.856808]",116.415154,39.856808,116.415154,39.856808
7,110,2013-10-08 21:45:00+00:00,254,"[116.461761,39.92038]",0.0,48.7275,0,7.616666666666666,"[116.461761,39.92038]",116.461761,39.92038,116.461761,39.92038
8,118,2013-10-08 22:00:00+00:00,254,"[116.46199,39.871319]",0.0,38.665,0,7.35,"[116.46199,39.871319]",116.46199,39.871319,116.46199,39.871319
10,134,2013-10-08 22:45:00+00:00,254,"[116.505127,39.905796]",0.0,23.08,0,10.9,"[116.505127,39.905796]",116.505127,39.905796,116.505127,39.905796
12,165,2013-10-08 00:00:00+00:00,255,"[116.218163,39.96373]",0.0,77.375,0,4.466666666666667,"[116.218163,39.96373]",116.218163,39.96373,116.218163,39.96373
14,176,2013-10-08 17:30:00+00:00,255,"[116.374191,39.769337]",0.0,77.14,0,10.1,"[116.374191,39.769337]",116.374191,39.769337,116.374191,39.769337
15,186,2013-10-08 17:45:00+00:00,255,"[116.530708,39.852581]",0.0,33.2625,0,26.583333333333332,"[116.530708,39.852581]",116.530708,39.852581,116.530708,39.852581
17,215,2013-10-08 19:30:00+00:00,255,"[116.50264,39.802288]",0.0,27.2675,0,29.916666666666668,"[116.50264,39.802288]",116.50264,39.802288,116.50264,39.802288
18,242,2013-10-08 20:00:00+00:00,255,"[116.458183,39.948814]",0.0,25.475,0,14.5,"[116.458183,39.948814]",116.458183,39.948814,116.458183,39.948814
19,257,2013-10-08 21:30:00+00:00,255,"[116.540474,39.941544]",0.0,52.2925,0,18.1,"[116.540474,39.941544]",116.540474,39.941544,116.540474,39.941544
20,274,2013-10-08 22:15:00+00:00,255,"[116.512634,39.801376]",0.0,37.9825,0,16.983333333333334,"[116.512634,39.801376]",116.512634,39.801376,116.512634,39.801376
21,292,2013-10-08 22:45:00+00:00,255,"[116.444572,39.874966]",0.0,63.325,0,11.066666666666666,"[116.444572,39.874966]",116.444572,39.874966,116.444572,39.874966
22,303,2013-10-08 23:30:00+00:00,255,"[116.398346,39.791897]",0.0,16.43,0,27.516666666666666,"[116.398346,39.791897]",116.398346,39.791897,116.398346,39.791897
23,329,2013-10-08 08:00:00+00:00,256,"[116.1996,39.924641]",0.0,42.3925,0,7.216666666666667,"[116.1996,39.924641]",116.1996,39.924641,116.1996,39.924641
26,378,2013-10-08 10:30:00+00:00,256,"[116.305763,39.941559]",0.0,19.9025,0,3.6166666666666667,"[116.305763,39.941559]",116.305763,39.941559,116.305763,39.941559
27,383,2013-10-08 10:45:00+00:00,256,"[116.290848,39.923985]",0.0,27.36,0,8.05,"[116.290848,39.923985]",116.290848,39.923985,116.290848,39.923985
28,392,2013-10-08 11:00:00+00:00,256,"[116.324135,39.951763]",0.0,17.65,0,8.25,"[116.324135,39.951763]",116.324135,39.951763,116.324135,39.951763
29,400,2013-10-08 11:30:00+00:00,256,"[116.306831,39.9687]",0.0,41.61,0,6.3,"[116.306831,39.9687]",116.306831,39.9687,116.306831,39.9687
30,406,2013-10-08 11:30:00+00:00,256,"[116.288254,39.959473]",0.0,24.7125,0,6.766666666666667,"[116.288254,39.959473]",116.288254,39.959473,116.288254,39.959473
31,413,2013-10-08 11:45:00+00:00,256,"[116.334991,39.959282]",0.0,39.3875,0,4.783333333333333,"[116.334991,39.959282]",116.334991,39.959282,116.334991,39.959282
32,418,2013-10-08 12:15:00+00:00,256,"[116.350105,39.923626]",0.0,51.7525,0,12.3,"[116.350105,39.923626]",116.350105,39.923626,116.350105,39.923626
33,426,2013-10-08 13:00:00+00:00,256,"[116.322922,39.896805]",0.0,29.43,0,16.466666666666665,"[116.322922,39.896805]",116.322922,39.896805,116.322922,39.896805
34,446,2013-10-08 14:45:00+00:00,256,"[116.324097,39.896923]",0.0,38.06,0,9.966666666666667,"[116.324097,39.896923]",116.324097,39.896923,116.324097,39.896923
35,457,2013-10-08 15:30:00+00:00,256,"[116.304276,39.924133]",0.0,33.2825,0,10.283333333333333,"[116.304276,39.924133]",116.304276,39.924133,116.304276,39.924133
36,466,2013-10-08 16:15:00+00:00,256,"[116.273788,39.946106]",0.0,46.8125,0,10.0,"[116.273788,39.946106]",116.273788,39.946106,116.273788,39.946106
37,474,2013-10-08 16:30:00+00:00,256,"[116.27372,39.904495]",0.0,40.125,0,8.15,"[116.27372,39.904495]",116.27372,39.904495,116.27372,39.904495
38,482,2013-10-08 17:00:00+00:00,256,"[116.26799,39.917568]",0.0,35.72,0,7.733333333333333,"[116.26799,39.917568]",116.26799,39.917568,116.26799,39.917568
39,491,2013-10-08 07:45:00+00:00,257,"[116.243813,39.833717]",0.0,14.7075,0,31.466666666666665,"[116.243813,39.833717]",116.243813,39.833717,116.243813,39.833717
41,614,2013-10-08 09:30:00+00:00,257,"[116.442894,39.89558]",0.0,25.4625,0,23.516666666666666,"[116.442894,39.89558]",116.442894,39.89558,116.442894,39.89558
42,640,2013-10-08 11:00:00+00:00,257,"[116.275093,39.916298]",0.0,55.7075,0,22.033333333333335,"[116.275093,39.916298]",116.275093,39.916298,116.275093,39.916298
