geo_id,type,coordinates,highway
0,Point,"[116.3894407, 39.9062721]",4
1,Point,"[116.3894463, 39.9060115]",4
2,Point,"[116.386428, 39.9061687]",4
3,Point,"[116.3856338, 39.9061421]",4
4,Point,"[116.3930703, 39.906394]",4
5,Point,"[116.3970962, 39.9065222]",4
6,Point,"[116.3970144, 39.9064252]",11
7,Point,"[116.3968553, 39.9062711]",11
8,Point,"[116.3970911, 39.9066233]",10
9,Point,"[116.3970859, 39.9067276]",10
10,Point,"[116.3970837, 39.9067717]",10
11,Point,"[116.3970735, 39.9068948]",10
12,Point,"[116.3970709, 39.906928]",10
13,Point,"[116.3970665, 39.9070178]",10
14,Point,"[116.3970561, 39.9072276]",10
15,Point,"[116.3970507, 39.9073363]",10
16,Point,"[116.3970478, 39.9073948]",10
17,Point,"[116.397039, 39.9075743]",10
18,Point,"[116.397023, 39.9078986]",10
19,Point,"[116.3970145, 39.9080702]",10
20,Point,"[116.3969581, 39.9092118]",10
21,Point,"[116.3969443, 39.9094919]",10
22,Point,"[116.3969067, 39.9102534]",10
23,Point,"[116.3968874, 39.9106432]",10
24,Point,"[116.3968246, 39.911373]",10
25,Point,"[116.3898158, 39.8987502]",4
26,Point,"[116.3898178, 39.8986298]",4
27,Point,"[116.3888956, 39.8988353]",4
28,Point,"[116.3895438, 39.8988863]",10
29,Point,"[116.3887486, 39.8989659]",10
30,Point,"[116.3934609, 39.8988716]",4
31,Point,"[116.3934817, 39.8987479]",8
32,Point,"[116.3933824, 39.9002251]",8
33,Point,"[116.39337, 39.9003531]",8
34,Point,"[116.393354, 39.9005829]",8
35,Point,"[116.3933161, 39.9015519]",8
36,Point,"[116.3855782, 39.9019869]",10
37,Point,"[116.3857511, 39.9019465]",10
38,Point,"[116.3858902, 39.9018892]",10
39,Point,"[116.3862835, 39.9016947]",10
40,Point,"[116.3865423, 39.9015576]",10
41,Point,"[116.3867186, 39.9014882]",10
42,Point,"[116.3868883, 39.9014526]",10
43,Point,"[116.3871101, 39.9014347]",10
44,Point,"[116.3877869, 39.9014476]",10
45,Point,"[116.3879786, 39.9014518]",10
46,Point,"[116.3855838, 39.9021648]",10
47,Point,"[116.3855688, 39.9024817]",10
48,Point,"[116.385483, 39.9042994]",10
49,Point,"[116.3854401, 39.9052077]",10
50,Point,"[116.3854221, 39.9055741]",10
51,Point,"[116.385426, 39.9056355]",10
52,Point,"[116.3854296, 39.9056929]",10
53,Point,"[116.3855774, 39.905896]",10
54,Point,"[116.3854802, 39.9018827]",10
55,Point,"[116.3854246, 39.901774]",10
56,Point,"[116.3854246, 39.9017386]",10
57,Point,"[116.3854253, 39.9014284]",10
58,Point,"[116.3855622, 39.8989751]",10
59,Point,"[116.3855748, 39.8988612]",10
60,Point,"[116.3855548, 39.8991053]",10
61,Point,"[116.3834224, 39.89891]",4
62,Point,"[116.3818892, 39.8988628]",4
63,Point,"[116.3818619, 39.8988605]",4
64,Point,"[116.3867923, 39.8990026]",5
65,Point,"[116.3866398, 39.8991285]",5
66,Point,"[116.3857591, 39.8989795]",4
67,Point,"[116.3818667, 39.8990002]",10
68,Point,"[116.3801806, 39.8988121]",4
69,Point,"[116.3779918, 39.8987474]",10
70,Point,"[116.3779873, 39.8989219]",10
71,Point,"[116.3779386, 39.898622]",9
72,Point,"[116.3753701, 39.8986864]",4
73,Point,"[116.372167, 39.898581]",4
74,Point,"[116.3766593, 39.9058516]",11
75,Point,"[116.3765804, 39.9056415]",11
76,Point,"[116.3765808, 39.9060076]",10
77,Point,"[116.3765605, 39.9060918]",10
78,Point,"[116.3761675, 39.9079278]",10
79,Point,"[116.375691, 39.909774]",10
80,Point,"[116.3760814, 39.9058599]",4
81,Point,"[116.3755958, 39.9058558]",4
82,Point,"[116.3745071, 39.9058234]",4
83,Point,"[116.3778503, 39.9005436]",10
84,Point,"[116.3778356, 39.9014241]",10
85,Point,"[116.3778094, 39.9018086]",10
86,Point,"[116.3777893, 39.9022187]",10
87,Point,"[116.377788, 39.9024955]",10
88,Point,"[116.3777633, 39.9029395]",10
89,Point,"[116.3778874, 39.900139]",10
90,Point,"[116.3779188, 39.899731]",10
91,Point,"[116.3776254, 39.9004879]",6
92,Point,"[116.3771903, 39.9004907]",6
93,Point,"[116.3762331, 39.9005226]",6
94,Point,"[116.3748889, 39.900482]",6
95,Point,"[116.3777062, 39.9035525]",10
96,Point,"[116.3775755, 39.903785]",10
97,Point,"[116.3771868, 39.9028889]",10
98,Point,"[116.3761696, 39.902873]",10
99,Point,"[116.3752167, 39.902839]",10
100,Point,"[116.3817558, 39.900629]",10
101,Point,"[116.3817133, 39.9010691]",10
102,Point,"[116.3816769, 39.9013079]",10
103,Point,"[116.381798, 39.9002422]",10
104,Point,"[116.3818157, 39.8998235]",10
105,Point,"[116.3818641, 39.8990651]",10
106,Point,"[116.3822005, 39.9006785]",10
