id;cpath;mgeom
8772;57949;LINESTRING(116.504258795 39.9082191754,116.504258795 39.9082191754)
5501;16839,16840,16841,16842,21475,47688,47739,11123,11124,59265,47622,47620,47621,64479,64480,52530,47736,47737,47738,47699,47698,47694,6689,3094,66050,66051,3088,3089,38604,38605,15323,15324,15325,40457,44143,44144,40419,40422,40423,40424,40425,40426,56562,56566,56567,6704,6317,6306;LINESTRING(116.377637318 39.9915373461,116.377547415 39.9917490464,116.377221634 39.9924535805,116.377028095 39.9927850579,116.376789889 39.9931238796,116.376217037 39.9938725003,116.375969308 39.9941962035,116.374057189 39.996694451,116.373423091 39.9975222472,116.372256501 39.9990451385,116.370541831 40.0012832527,116.370129005 40.0010940594,116.370734131 40.0002951816,116.372001429 39.9986184714,116.374029649 39.9959347829,116.374844681 39.9948561991,116.375402849 39.9941764862,116.372580796 39.9940666707,116.372004451 39.9940442837,116.371724489 39.9940365982,116.371004688 39.9940214974,116.370712885 39.9939306841,116.369195477 39.9938682152,116.369051526 39.9938648063,116.368172179 39.9938475193,116.367598054 39.9938186677,116.365129637 39.9937447159,116.358963718 39.9935512459,116.357751439 39.9934659937,116.353447417 39.9933914117,116.353295291 39.9933847417,116.353291993 39.9934548388,116.35310045 39.9971445527,116.353048146 39.9979962955,116.352951639 39.9995707904,116.352889264 40.0008277327,116.352881159 40.0009221223,116.353056335 40.0009274342,116.356009093 40.0010236207,116.35709906 40.0010591993,116.359973215 40.0011749513,116.361492029 40.0012217501,116.361694726 40.00122728,116.361691635 40.00134628,116.356836833 40.0011770546,116.353049236 40.001056227,116.352870452 40.0010474086,116.352671424 40.0010428538,116.352509174 40.0010391641)
7691;55081,55082,55083,36047,36048,36049,43670,35511,43671,43672,43679,43680,43681,43682,43683,43684,43685,14483,21290,21291;LINESTRING(116.395398156 39.8019457554,116.395422884 39.8020465775,116.395410508 39.8022941904,116.395384601 39.8023672817,116.395375326 39.802610896,116.395370034 39.8027011002,116.39536295 39.8028639092,116.395361757 39.8029230133,116.39536295 39.8028639092,116.395867863 39.8028686903,116.3960893 39.8028989126,116.396185457 39.8029015643,116.402525685 39.8030745325,116.402678041 39.8032075838,116.402670445 39.8048343111,116.40273987 39.8048964343,116.402799292 39.804949654,116.402861114 39.8050049743,116.402741986 39.8073795296,116.402559501 39.8110163609,116.402450341 39.8131927332)
10942;6414,6415,40955,40956,40957,40938,75780,75781,75782,54257,7476,20845,55929,7526,7527,54294;LINESTRING(116.319407049 39.9665699795,116.318943929 39.9663996263,116.315491247 39.9651298489,116.313997381 39.9645888836,116.313675405 39.9644723134,116.313305431 39.9643383603,116.313032863 39.9642490809,116.310534341 39.9634267424,116.310332534 39.9633646968,116.309740344 39.9631653861,116.309365694 39.9630224493,116.308423495 39.9624508509,116.308200951 39.962320676,116.30797941 39.9621910037,116.306622056 39.9615562499,116.305009671 39.9608122212,116.304171299 39.9604469768)
5502;47741,6691,47704,47705,15064,47706,47707,47708,15069,15070,47727,47728,47729,47678,22000,22001,52098,52090,52084,40216,40208,52066,54446,54448;LINESTRING(116.380372837 39.9942174341,116.380372837 39.9942174341,116.380373523 39.9940984299,116.381308547 39.9941189606,116.381799676 39.9941297904,116.382888933 39.9941547362,116.383668663 39.994087928,116.385548321 39.9941407585,116.386110637 39.9941565817,116.386933913 39.9941897277,116.387107894 39.9941953822,116.387112489 39.994117183,116.387212397 39.9925946077,116.387348672 39.9905170412,116.38747725 39.9885352718,116.387562337 39.9869791819,116.387628993 39.9853158718,116.387654237 39.9846838679,116.387703031 39.9834665606,116.387732037 39.9824987464,116.387736427 39.9823900457,116.387870562 39.9823933609,116.387968359 39.9823951445,116.39008336 39.9824339641,116.393259468 39.9825338293)
19731;9367,57131,57218,6144,9361,9362,9363,9364,9365,57145,9470,3498,9377,3490,84674,84675,84697,84698,84699,66939,66940,84720,9601,9602,9603,9604,9592;LINESTRING(116.496869009 39.8092641404,116.494926447 39.8116781824,116.492384267 39.8146997902,116.491864984 39.8153189556,116.49166542 39.8152517336,116.489615834 39.8144749347,116.486063289 39.8130824192,116.485385916 39.8128409212,116.484825221 39.8126637914,116.48220949 39.8118891458,116.478808399 39.8108818765,116.474241764 39.8095763679,116.472121077 39.8089107564,116.471977542 39.8088833182,116.469773961 39.8082234832,116.467496336 39.8075412869,116.463534013 39.8066040079,116.46281939 39.8064349182,116.461842192 39.8061734906,116.46171695 39.8061573681,116.461462975 39.8061247293,116.460588267 39.8061361552,116.460463619 39.8061377275,116.460205951 39.8061800919,116.459835403 39.8062810027,116.456591743 39.8070630875,116.456119008 39.8071841602,116.455970287 39.8086768778)
9829;32036,32037,32024,65608,53224,2329,31971,31972,53005,53006,2275,51727,38967,35485,35486,57901,21819,21826,21824,52975,52998,52999,53000,53001,53002,53018,53019,53052,53053,53035,53036,52297,63413,52298,53036,52297;LINESTRING(116.466269988 39.9812754717,116.466269988 39.9812754717,116.466423916 39.9812735066,116.466450177 39.9816060579,116.466559717 39.9829934544,116.466581885 39.9832753132,116.466944667 39.9840637809,116.467176101 39.9844564433,116.467365142 39.9846752988,116.468034633 39.9852933097,116.46894687 39.9861353232,116.46902902 39.9862097251,116.470200428 39.9873226809,116.472412098 39.9892653006,116.473177863 39.9899571734,116.473624335 39.9903643428,116.473800868 39.9905173941,116.473894467 39.9906013559,116.472682879 39.9914029,116.474627744 39.9931889637,116.477581848 39.9958654855,116.478167791 39.9963700372,116.478547228 39.9967639333,116.47878696 39.9972678083,116.478863761 39.997807024,116.47884612 39.9985801047,116.478521146 39.9985633805,116.478124014 39.9985162465,116.478521146 39.9985633805,116.47884612 39.9985801047,116.478793908 40.000213216,116.478790337 40.0003456313,116.477911672 40.0002921924,116.478790337 40.0003456313,116.478793908 40.000213216,116.478790337 40.0003456313,116.478790337 40.0003456313)
16445;30608,30609,30610,10511,10512,10510,10522,10523,10524,10631,10632,10633,10634,10609,10613,10614,10615,10616,10617,10618,10619,10620,10621,10257,10258,10259,35387,35388,10491,15560,15561,10492,5697;LINESTRING(116.34700962 39.8567454609,116.346604773 39.853195707,116.346463395 39.8526974157,116.346283427 39.8521669505,116.345882559 39.8515970714,116.344774032 39.8504670353,116.344172204 39.8498722722,116.344326935 39.8489421073,116.344395557 39.8486854207,116.344478215 39.8484626624,116.344871348 39.848051274,116.345004624 39.8478721126,116.3454347 39.8471611733,116.345503639 39.8470377945,116.346448546 39.8469978509,116.346531171 39.8473274242,116.346652688 39.8476922715,116.3468191 39.8480175996,116.347047948 39.8483327423,116.347122226 39.8484355859,116.347479572 39.8488502712,116.347811649 39.8491740032,116.348265101 39.8495672613,116.348926618 39.8500311024,116.349693149 39.850411325,116.350475995 39.8507026648,116.353775413 39.8516193253,116.354090693 39.8517070867,116.358355699 39.8528945208,116.359306653 39.853151534,116.361830739 39.8538666316,116.362722598 39.8541192833,116.364151672 39.8545267734,116.364355621 39.8545774412)
8773;57949;LINESTRING(116.504258795 39.9082191754,116.504258795 39.9082191754)
17536;82860,51285,51281,59411,59412,52061,52060,284,52057,52058,52059,39451,39399,39396,39397,39335,39336,39337,39311,39312,39298,39293,39294,39295,39296,39297,3704,3705,51269,51270,3707,3708,3709,50962,55882,55855,55856,1028,1029,1030,1034,55798,55796,55789,55790,55791,55792,55793,55794,78453,53291,83587,62241,79902,62241,62242,79903,79904,79905,53279,61980;LINESTRING(116.455684558 39.9806908895,116.455684558 39.9806908895,116.455329942 39.9803694877,116.457601423 39.9788665917,116.459485989 39.9776193563,116.459750927 39.977443979,116.46067587 39.9770501538,116.464298709 39.9746339113,116.464451239 39.9745262547,116.46688703 39.972922266,116.467624283 39.9724360782,116.468064173 39.9721459038,116.469696476 39.9710508668,116.469984335 39.9708788478,116.472261568 39.9693476718,116.473470386 39.9685782508,116.47409416 39.9681637247,116.475022772 39.967551186,116.478454171 39.9652950937,116.481168546 39.963487434,116.482916481 39.9622830487,116.483239869 39.96184903,116.484387632 39.9609669799,116.484744007 39.9606610647,116.485315276 39.9601640324,116.485806231 39.9596772227,116.48616149 39.9592999992,116.486836621 39.9584669437,116.487123124 39.9580803103,116.487188373 39.95798432,116.487251928 39.9578906346,116.484131797 39.9565487224,116.483873016 39.956444644,116.483087701 39.9561925288,116.481648768 39.9557305017,116.479631785 39.9550829007,116.476649164 39.9541250709,116.476569731 39.9540995804,116.476449137 39.9540595981,116.473819878 39.9531863364,116.471291182 39.9523773476,116.46839531 39.9514455741,116.468395096 39.9513344702,116.468394783 39.9512240666,116.468536173 39.9499123701,116.468618994 39.948981231,116.468633234 39.9488608915,116.468644171 39.9486386559,116.468643669 39.9486053558,116.46865242 39.9484364277,116.468658585 39.948318608,116.468684159 39.947953831,116.468778006 39.9467162523,116.468785868 39.9466106289,116.468778006 39.9467162523,116.468785868 39.9466106289,116.46878756 39.9465935241,116.468868301 39.9457737939,116.468888407 39.9455340351,116.468985156 39.9443813521,116.468855063 39.9443479691,116.468859541 39.9443224894)
