geo_id,type,coordinates,highway
0,Point,"[116.39568066391223, 39.90767236176978]",4
1,Point,"[116.39568623416459, 39.907411753465354]",4
2,Point,"[116.39266586143349, 39.90756710647158]",4
3,Point,"[116.39187103252533, 39.90753995797007]",4
4,Point,"[116.39931218577576, 39.907796011440375]",4
5,Point,"[116.40333941136107, 39.907925512455364]",4
6,Point,"[116.40325758098444, 39.907828488711715]",11
7,Point,"[116.40309842527952, 39.907674343221764]",11
8,Point,"[116.40333432313759, 39.90802661566664]",10
9,Point,"[116.40332913529886, 39.90813091899111]",10
10,Point,"[116.40332694044017, 39.90817502039553]",10
11,Point,"[116.40331675390091, 39.90829812334872]",10
12,Point,"[116.40331415756343, 39.90833132417987]",10
13,Point,"[116.4033097680463, 39.90842112705212]",10
14,Point,"[116.40329939250712, 39.90863093372529]",10
15,Point,"[116.40329400517581, 39.9087396371752]",10
16,Point,"[116.40329111199458, 39.908798139031994]",10
17,Point,"[116.4032823329361, 39.90897764474695]",10
18,Point,"[116.40326637073827, 39.90930195502561]",10
19,Point,"[116.40325789072803, 39.90947356044475]",10
20,Point,"[116.40320162365201, 39.910615196329054]",10
21,Point,"[116.40318785624943, 39.91089530508925]",10
22,Point,"[116.40315034480274, 39.91165682877978]",10
23,Point,"[116.40313109009139, 39.91204664083416]",10
24,Point,"[116.40306836864802, 39.912776456690814]",10
25,Point,"[116.39605503379764, 39.90015033259292]",4
26,Point,"[116.39605701965765, 39.90002992823261]",4
27,Point,"[116.39513427204372, 39.90023492320608]",4
28,Point,"[116.39578288634141, 39.90028629057643]",10
29,Point,"[116.39498719325218, 39.90036544396748]",10
30,Point,"[116.39970199161048, 39.90027343273345]",4
31,Point,"[116.3997227843841, 39.900149735248036]",8
32,Point,"[116.39962363166295, 39.9016269629163]",8
33,Point,"[116.3996112428235, 39.90175496378054]",8
34,Point,"[116.39959526544938, 39.90198476777792]",8
35,Point,"[116.39955747310887, 39.90295379612752]",8
36,Point,"[116.39181485832474, 39.903384535302614]",10
37,Point,"[116.3919878924369, 39.903344255117844]",10
38,Point,"[116.39212709611674, 39.90328704956512]",10
39,Point,"[116.39252068001835, 39.90309281109355]",10
40,Point,"[116.3927796615391, 39.90295587948808]",10
41,Point,"[116.39295608636749, 39.90288659377262]",10
42,Point,"[116.39312590905219, 39.90285110402139]",10
